post_id,post_date,group,parent_post_id,author,content
331,2019-04-18,11,,craciun05,the beautiful Harvard grad —..,
332,2015-05-06,4,,sudebala,I need some of that geico balboa stuff..,
333,2017-09-10,16,,rps_1899,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.,
334,2016-01-30,12,,stethoscopes,I want Geico.....,
335,2016-11-07,17,,amateur07,Stupid Lakers.,
336,2018-09-03,,,harmon758,London's tube map is getting uglier.,
337,2015-11-10,3,,viperfish12,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,
338,2017-01-01,7,,artykom,i've decided i hate harvard..,
339,2016-09-20,3,,rps_1899,Boston SUCKS.,
340,2018-11-19,,,maharnav,have an awesome time at purdue!..,
341,2019-12-22,2,,fsv,and honda elements are assholes...,
342,2018-09-01,6,,youralterego,he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,
343,2017-10-21,18,,amateur07,and northwest airlines can suck my yankee ass.,
344,2016-04-17,15,,nitsua49,Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is.,
345,2016-05-13,20,,alex945,i try to enjoy my time here in san francisco.......,
346,2018-09-22,7,,harmon758,I don’t even want to be here anymore,
347,2015-03-18,,,alex945,Then we had stupid trivia about San Francisco and sci fi tv so we left...,
348,2015-03-26,6,,mmarvin,i love mit and harvard both..,
349,2015-01-30,8,,citrus2014,If God exists, why are morons like Paris Hilton considered beautiful?.(,
350,2016-03-05,4,,aminox,UCLA is stupid, I realized.,
351,2015-04-19,19,,hairy-conniption,harvard is for dumb people.,
352,2019-11-27,10,,tahastanly,I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..,
353,2017-02-08,19,,piley159,Philip Seymour Hoffman gives his usual top notch performance and Tom Cruise is actually damn good.,
354,2019-03-03,3,,hassan1365416,i love in seattle..,
355,2017-06-02,20,,rexlex,actually the only thing that i really like about purdue is my apartment....,
356,2016-08-07,,,tahastanly,I hate Paris Hilton..,
357,2017-11-04,11,,aminox,I hate the exodus of subarus and honda crv's and volvos.,
358,2016-09-24,14,,craciun05,stupid UCLA..,
359,2017-02-20,19,,sheik_yerbouti,Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world.,
360,2015-08-10,6,,viperfish12,I like Hillary Clinton.,
361,2017-08-15,,,hassan1365416,Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!,
362,2016-03-02,7,,mmarvin,So in essence, the Honda commercial is a clever play on that TZ episode.,
363,2016-09-06,12,,jerusseust,and i like Paris Hilton.,
364,2015-03-04,11,,tahastanly,During the drive across beautiful San Francisco, Mercyful Fate's'Melissa'came on over Wayne's Sirius radio.,
365,2016-01-29,14,,stethoscopes,Maybe I'll be working by the time next year rolls around, in which case I'll hopefully trade beloved macbook in for a'book pro, get office'07, and rock hard.,
366,2019-10-07,18,,amateur07,this year wasnt so great hyundai changed alot of cars and stuff so that was cool.,
367,2016-12-23,5,,mohamadi46,我還在用that stupid BOX CAR-HONDA CRX = o = 。 CRAP GAME!..,
368,2016-09-19,9,,stethoscopes,I liked Tom Cruise until he dumped Nicole Kidman.,
369,2018-03-11,14,,stethoscopes,All san Francisco has are shitty little old apts in this price range...,
370,2015-08-11,19,,craciun05,london sucks....,
371,2018-12-08,,,tahastanly,Three days at Purdue with three awesome people.,
372,2019-05-27,18,,fsv,i hate angelina jolie too...,
373,2015-04-04,6,,cracking12345,i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before.,
374,2019-09-10,5,,alex945,We all know that we love Paris Hilton...,
375,2019-04-22,4,,viperfish12,I'm loving Shanghai > > > ^ _ ^.,
376,2016-08-10,6,,youralterego,I hate Paris Hilton..,
377,2015-10-20,,,aminox,I blame UCLA for my poor Psychobiology GPA...,
378,2016-10-20,1,,mohamadi46,Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.,
379,2019-10-14,10,,citrus2014,london sucks....,
380,2018-12-25,,,rexlex,i love Kappo Honda, which is across the street..,
381,2016-12-28,18,,craciun05,I love San Francisco, and I love Yale.,
382,2017-06-05,1,,stethoscopes,i bet i am the first person ever to comment on your site from london-stinking-england!,
383,2019-01-05,4,,nitsua49,As much as I hate Tom Cruise..,
384,2015-09-19,12,,mohamadi46,A soccer ball piÃ ± ata is another great entertainment and prize piece all in one...,
385,2015-01-11,13,,sheik_yerbouti,AAA rocks.,
386,2018-02-01,16,,youralterego,On a lighter note, I love my macbook.,
387,2017-11-26,11,,bischopscup,personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....,
388,2015-01-06,11,,maharnav,but the macbook looks so awesome.,
389,2017-10-30,,,timequake,Sorice and UIUC who can suck it;,
390,2019-08-07,11,,viperfish12,I hate Paris Hilton.,
391,2018-04-15,16,,bischopscup,, you don't even know how much I hate Southwest airlines!!!,
392,2016-08-03,13,,fsv,stupid kids and their need for Honda emblems):,
393,2015-02-08,,,nitsua49,and i like Paris Hilton.,
394,2018-02-11,20,,nitsua49,I still love the Lakers best, though!)..,
395,2019-11-18,12,,f1984b,We all know that we love Paris Hilton...,
396,2015-11-25,,,rps_1899,i love our trips out to london pissed out of our faces on shitty booze...,
397,2019-07-11,7,,bischopscup,I love Angelina Jolie.,
398,2018-08-10,,,bischopscup,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,
399,2019-07-11,13,,craciun05,Boston can suck my lucking cuticless...,
400,2016-05-13,,,sudebala,San Francisco's Disastrous Policy Exposed!..,
401,2016-04-08,4,,sudebala,I've loved Tom Cruise since he was in  Endless Love (,
402,2016-08-25,2,,sheik_yerbouti,, Boston is great...,
403,2016-06-30,8,,cracking12345,I like Purdue University's computer lab!..,
404,2019-06-16,2,,harmon758,and i like Paris Hilton.,
405,2019-12-01,,,fsv,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,
406,2019-04-16,18,,odalv,I love paris hilton, britney spears and jessica simpson.,
407,2017-09-25,11,,cracking12345,Which is fine, since AAA is quite the dubious cottage industry of hype and hyperbole over blah bands...,
408,2016-11-22,8,,nitsua49,i love macbook....,
409,2016-10-11,17,,rps_1899,I love the London Little People, btw.,
410,2017-07-30,14,,artykom,miss you aaa ~..,
411,2016-01-02,19,,sosobanane,Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.,
412,2015-11-24,11,,harmon758,we have a boring as shit blue 2005 toyota carolla.,
413,2015-10-05,16,,rps_1899,Knew nothing fancy was going to happen but I love Purdue football.,
414,2016-09-17,10,,f1984b,Geico ROCKS!,
415,2019-04-15,11,,rps_1899,BOSTON SUCKS!!!,
416,2015-03-23,18,,alex945,I hate Purdue.,
417,2018-05-12,11,,viperfish12,I love the Toyota Prius.,
418,2019-08-15,13,,fsv,Seattle sucks......,
419,2015-10-21,3,,bischopscup,I miss London...,
420,2015-02-19,13,,harmon758,boston is great: ).,
421,2016-03-04,2,,nitsua49,Three days at Purdue with three awesome people.,
422,2016-07-20,7,,hassan1365416,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,
423,2015-11-08,,,bischopscup,Boston can suck my lucking cuticless...,
424,2017-03-20,19,,youralterego,Geico would be great, and I really hope that works out.,
425,2017-11-04,16,,aminox,I'm biased, I love Angelina Jolie..,
426,2017-09-30,,,rexlex,oh! Traffic in Seattle sucks!,
427,2016-06-21,20,,amateur07,Awesome diner here @ Purdue...,
428,2017-04-09,11,,nitsua49,i do i love angelina jolie!..,
429,2019-11-19,3,,fsv,With that said god i cant wait to go there, seattle is awesome.,
430,2016-07-02,,,hairy-conniption,Boston was going to tie because of his stupid....,
431,2018-10-18,,,rps_1899,I need some of that geico balboa stuff..,
432,2016-06-05,12,,artykom,we have a boring as shit blue 2005 toyota carolla.,
433,2018-05-25,12,,viperfish12,Honda's are great!,
434,2016-03-30,,,mohamadi46,I LOVE SEATTLE.,
435,2017-02-07,14,,odalv,i love ucla!..,
436,2018-11-15,,,mmarvin,and i also know that you are an awesome student at MIT finding a bunch of other cool / important things to do.,
437,2018-09-06,,,mohamadi46,i love you my harvard boy..(,
438,2015-12-27,5,,alex945,not only do i hate paris hilton for....,
439,2017-08-05,,,bischopscup,I LOVE Seattle!!,
440,2016-05-26,,,timequake,And Tom Cruise is beautiful....,
441,2017-07-03,,,citrus2014,MIT's Naxos Music Library subscription is AWESOME..,
442,2017-02-19,14,,bischopscup,i love ucla.,
443,2017-11-16,10,,amateur07,The new thinkpad is beautiful.,
444,2018-10-15,4,,citrus2014,I have loved Tom Cruise since Risky Business...,
445,2019-06-15,20,,sheik_yerbouti,love story in harvard is getting boring.,
446,2018-11-28,,,timequake,I especially appreciated Hillary Clinton & # 8217;,
447,2016-07-30,7,,sheik_yerbouti,My Purdue Cal friends are awesome!..,
448,2015-09-27,,,mohamadi46,I want a macbook pro...,
449,2015-06-04,15,,stethoscopes,Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world.,
450,2016-12-21,4,,f1984b,i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...,
451,2018-11-30,,,timequake,I liked Tom Cruise until he dumped Nicole Kidman.,
452,2018-01-19,1,,craciun05, They played Boston's  More Than a Feeling,  which is my theme song on those crazy-good days when everything is shiny.,
453,2015-07-18,10,,alex945,and we love the Indianapolis Colts and the Indiana Pacers.,
454,2019-04-12,18,,aminox,I hate paris hilton too!,
455,2016-10-06,7,,citrus2014,Love Story At Harvard [ awesome drama!,
456,2016-03-20,11,,maharnav,I miss Purdue right now..,
457,2019-07-02,,,sheik_yerbouti,I miss Boston.,
458,2017-07-30,,,craciun05,Way to go stupid Lakers..,
459,2018-10-13,5,,mohamadi46,And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.,
460,2017-06-26,5,,fsv,Seattle sucks......,
461,2019-03-03,7,,hassan1365416,By the way, I hate LONDON...,
462,2015-01-16,,,mohamadi46,I do remember TJ sauntering into my room a slightly off kilter asking me to drive him to get yummy foodstuffs, and of course I complied, I love the Honda < 3.,
463,2015-11-23,20,,tahastanly,AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,
464,2018-11-19,,,mohamadi46,LOVE STORY IN HARVARD 23.5 % vs Pinoy Dream Academy 14.6 % ( at nanatiling bangungot! ).,
465,2016-05-02,8,,viperfish12,Traffic in Seattle does stink, but it's a beautiful city to be stuck in.,
466,2018-09-04,,,f1984b,I hate Tom Cruise..,
467,2017-01-03,3,,f1984b,and honda elements are assholes...,
468,2019-12-01,,,hairy-conniption,once again mac computers suck big big yachts lol i love my sweet hp pavilion.....,
469,2015-10-16,,,odalv,i love mit and harvard both..,
470,2017-08-29,1,,fsv,I love UCLA but miss everyone from back home.,
471,2019-02-08,19,,f1984b,I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...,
472,2016-02-20,19,,sudebala,n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say  wait me  aaa.,
473,2015-01-16,13,,hassan1365416,Wednesday, August 30, 2006 Anti-War  Pope  Murtha Disappointed With MrsSatan Hillary Clinton.,
474,2017-10-13,,,craciun05,I think it's pretty clear Angelina Jolie is an ignorant racist.,
475,2018-06-08,,,harmon758,Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent.,
476,2017-07-14,11,,viperfish12,This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.,
477,2019-09-10,17,,amateur07,PURDUE luckIN ROCKS!!!,
478,2018-04-13,13,,sosobanane,The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...,
479,2015-07-12,11,,f1984b,Geico would be great, and I really hope that works out.,
480,2017-08-22,,,jerusseust,Boston SUCKS.,
481,2015-12-09,1,,rexlex,Three days at Purdue with three awesome people.,
482,2016-06-30,,,fsv,I love UCLA but miss everyone from back home.,
483,2016-03-12,,,mohamadi46,By the way, I hate LONDON...,
484,2016-05-27,9,,alex945,I need to pay Geico and a host of other bills but that is neither here nor there.,
485,2015-03-11,8,,artykom,harvard square = sucked.,
486,2015-01-26,5,,artykom,By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1),
487,2015-11-17,,,cracking12345,Sorry Bobcat, but Seattle Sucks.,
488,2019-03-13,19,,f1984b,And I would love myself a Macbook ( to be used for number crunching, surfing, gaming, and word processing ) if not for anything than it's  cool  factor lol..,
489,2019-04-18,,,youralterego,hillary no1,
490,2018-11-02,15,,craciun05,That's why I most love the Harvard story:,
491,2017-05-24,,,alex945,oh! Traffic in Seattle sucks!,
492,2016-04-27,13,,maharnav,Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent.,
493,2015-03-29,13,,artykom,I think it's pretty clear Angelina Jolie is an ignorant racist.,
494,2019-07-14,8,,mohamadi46,I still like Tom Cruise.,
495,2017-04-17,3,,citrus2014,I need to pay Geico and a host of other bills but that is neither here nor there.,
496,2015-01-13,4,,nitsua49,Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.,
497,2019-05-30,17,,sosobanane,You are a lucking cutey and I think I may hate you even more than I hate Paris Hilton...,
498,2015-08-10,4,,sheik_yerbouti,I love my 13 year old Toyota!..,
499,2017-04-11,2,,f1984b,Mind you, I blame the mother mit der early toilet training.,
500,2016-02-22,10,,stethoscopes,the fact that i love paris hilton or like the color pink...,
501,2017-09-04,,,f1984b,UCLA was stupid.,
502,2019-03-22,18,,mmarvin,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
503,2018-07-04,2,,viperfish12,i think if i hate boston, ill just disappear to california for the summers...,
504,2017-04-19,15,,mmarvin,Wow, having XP on my MacBook would be awesome...,
505,2017-10-19,,,hassan1365416,I still like Tom Cruise.,
506,2017-10-26,1,,nitsua49,we have a boring as shit blue 2005 toyota carolla.,
507,2016-12-08,4,,hairy-conniption,we need at least ONE beautiful girl at ucla.,
508,2015-08-12,19,,cracking12345,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,
509,2019-03-30,6,,sheik_yerbouti,I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...,
510,2017-06-21,7,,artykom,and yeah, Lakers officially suck.,
511,2016-10-24,5,,jerusseust,Hillary Clinton would make a great president I think.,
512,2019-08-12,,,viperfish12,Funny that harvard was almost more stressful than MY AUDITION!,
513,2016-04-30,,,fsv,I love Angelina Jolie.,
514,2017-11-02,,,citrus2014,I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;,
515,2015-08-09,1,,stethoscopes,harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.,
516,2015-01-01,7,,mohamadi46,I LOVE MY TOYOTA COROLLA S! Except...,
517,2015-11-21,10,,mohamadi46,It seems to me that everything I want is in Seattle.,
518,2019-05-15,10,,stethoscopes,tomorrow is kind of a big day for me -- besides Stephen & i going to the last Lakers game of the season with great seats, which is going to be amazing because i LOVE the Lakers..,
519,2017-08-24,,,tahastanly,A call to Northwest Airlines was futile.,
520,2016-03-19,15,,stethoscopes,Okay so even though London is especially sexy and gloomy and filled with bad teeth, im considering only a year abroad during my sophmore year at the Brooks inscuticlesute in Santa Barbra.,
521,2015-07-01,,,cracking12345,I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...,
522,2016-02-04,12,,sudebala,Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.,
523,2016-03-08,7,,cracking12345,San Francisco's Disastrous Policy Exposed!..,
524,2019-09-08,5,,viperfish12,We all remember you said Boston Redsox stinks!,
525,2018-04-20,9,,jerusseust,I'm not crazy about HK either, but Shanghai is sounding awesome.,
526,2015-05-20,10,,sudebala,I hate Paris Hilton.,
527,2016-09-22,2,,bischopscup,I've seen a gorgeous gallery of UIUC campus last week.,
528,2019-04-10,,,fsv,i bet i am the first person ever to comment on your site from london-stinking-england!,
529,2016-04-13,7,,sosobanane,I love the Los Angeles LAKERS!!!.,
530,2015-12-21,19,,maharnav,I LOVE SEATTLE.,
531,2018-02-27,13,,cracking12345,I love the Los Angeles Lakers...,
532,2017-09-30,15,,stethoscopes,The seattle scene is pretty amazing too....,
533,2017-10-06,16,,viperfish12,I need some of that geico balboa stuff..,
534,2019-01-03,13,132,aminox,MIT's Naxos Music Library subscription is AWESOME..,
535,2015-12-20,18,328,piley159,I've prayed and been praying that God bless the UCLA Taekwondo program and let me do His work through it.,
536,2019-09-30,,407,amateur07,I hate paris hilton too!,
537,2017-09-12,,492,f1984b,who's peeping through the window?,
538,2015-01-17,9,436,stethoscopes,i love my honda...,
539,2015-11-03,5,366,f1984b,I really hate Tom Cruise.,
540,2015-04-08,17,107,jerusseust,Stupid UCLA....,
541,2019-07-15,13,401,timequake,We all know that we love Paris Hilton...,
542,2018-02-16,4,415,viperfish12,I really, really hate TOM CRUISE.,
543,2015-11-19,,300,sudebala,ucla rocks, usc suxors....,
544,2018-09-06,4,371,bischopscup,Seattle sucks!!,
545,2015-02-06,5,107,piley159,I loved my Toyota 4Runner.,
546,2019-06-12,2,120,odalv,the fact that i love paris hilton or like the color pink...,
547,2018-07-04,16,244,hassan1365416,On a lighter note, I love my macbook.,
548,2016-04-19,,154,amateur07,and honda elements are assholes...,
549,2015-08-07,,283,artykom,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,
550,2017-01-26,7,79,mmarvin,I hate UIUC.,
551,2019-12-24,19,484,amateur07,Tom Cruise sucks.,
552,2016-03-12,10,101,amateur07,I love Harvard guys...,
553,2019-03-16,9,445,sosobanane,i love in seattle..,
554,2016-03-01,6,480,mmarvin,i love my honda...,
555,2018-09-26,1,68,sheik_yerbouti,seattle sucks anyways.,
556,2016-01-24,,100,citrus2014,I HATE ANGELINA JOLIE!,
557,2018-08-18,9,449,hassan1365416,When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable.,
558,2018-03-10,,365,youralterego,also stupid harvard kept on shaking my desk and i told him to stop it...,
559,2016-02-29,14,330,harmon758,oh! Traffic in Seattle sucks!,
560,2018-07-30,20,478,mmarvin,Stupid angelina jolie...,
561,2019-03-16,18,20,rexlex,This superb View London Christmas gift basket is...,
562,2019-05-19,4,347,mohamadi46,I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..,
563,2019-02-14,7,127,jerusseust,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
564,2016-02-23,15,423,hairy-conniption,Traffic in Seattle does stink, but it's a beautiful city to be stuck in.,
565,2019-11-21,3,154,rexlex,honda civics suck jettas rule!!,
566,2019-12-30,,225,bischopscup,AAA's  Q  is catchy and an ear worm, like many of the things they've done.,
567,2016-06-11,9,137,tahastanly,London is a beautiful town, with many friendly people, but in a way it really reminds me of San Francisco.,
568,2017-02-27,10,410,rexlex,I love paris hilton...,
569,2017-08-10,,461,sosobanane,It seems to me that everything I want is in Seattle.,
570,2018-08-20,4,402,rps_1899,you think paris hilton is a good role model..,
571,2016-10-14,14,327,youralterego,he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,
572,2015-10-17,2,405,rps_1899,I would love to go Shanghai with sister..,
573,2015-02-03,,40,fsv,and i like Paris Hilton.,
574,2018-05-27,9,378,craciun05,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).,
575,2018-09-09,2,441,amateur07,By the way, I hate LONDON...,
576,2015-11-20,17,18,aminox,So yeah, Purdue was awesome.,
577,2015-11-17,2,193,mmarvin,nah man pls stop I cant keep doing this,
578,2017-11-28,15,91,bischopscup,Beijing and Shanghai trip was amazing...,
579,2018-06-04,1,92,cracking12345,cutey, ucla sucks a big yachts and farmar is a monkey.,
580,2017-12-20,4,277,fsv,THIS SONG SUCKSSSSSSS i hate paris hilton.....,
581,2019-01-08,,399,mohamadi46,I miss UIUC too.,
582,2015-01-25,7,128,youralterego,Harvard sucks!,
583,2017-05-10,11,432,artykom,I hate Paris Hilton.,
584,2016-02-05,10,293,citrus2014,The Honda is awesome.,
585,2017-01-09,15,44,harmon758,Geico would be great, and I really hope that works out.,
586,2017-11-10,17,8,fsv,Wow, having XP on my MacBook would be awesome...,
587,2018-07-08,2,462,sosobanane,I'm loving Shanghai > > > ^ _ ^.,
588,2019-07-19,,45,mmarvin,My Purdue Cal friends are awesome!..,
589,2015-12-21,,28,rexlex,Stupid MacBook.,
590,2017-05-17,,297,mmarvin,i miss london..,
591,2017-08-21,17,484,youralterego,MIT is a very impressive looking school I'm bored most of the time.,
592,2018-12-21,2,123,viperfish12,Stupid UCLA, deserves a good poking..,
593,2017-09-08,4,233,artykom,I love Harvard Square in the fall.,
594,2016-12-21,13,467,alex945,i wouldnt really recommend uk anymore i hate london.,
595,2017-01-06,3,336,alex945,Awesome diner here @ Purdue...,
596,2019-01-29,5,493,cracking12345,I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.,
597,2015-03-18,18,429,sudebala,So i hate american express cards....,
598,2017-07-29,,190,sudebala,Which makes me think I need AAA more than AA...,
599,2018-11-10,18,73,maharnav,i love seattle so much.,
600,2019-06-10,8,100,hassan1365416,i hate seattle.,
601,2016-07-09,2,404,sheik_yerbouti,I love Paris Hilton to the max now...,
602,2016-01-24,,168,cracking12345,I love Angelina Jolie and i love you even more, also your music on your site is my fav.,
603,2019-03-27,20,262,cracking12345,I really like the Geico commercials with the australian sounding gecko.,
604,2018-11-02,4,219,maharnav,I hate Paris Hilton.,
605,2015-06-03,,37,fsv,harvard is for dumb people.,
606,2015-05-15,8,468,jerusseust,That SouthWest airlines is amazing.,
607,2015-05-19,20,246,nitsua49,I absolutely love my MacBook Pro.,
608,2018-05-19,19,298,sheik_yerbouti,Well, my job at GEICO has been great so far.,
609,2019-03-14,7,14,citrus2014,I love Angelina Jolie.,
610,2017-11-21,19,31,cracking12345,I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;,
611,2019-09-05,10,458,odalv,I prefer my Visa or Mastercard because it is accepted in more places...,
612,2016-04-18,11,162,citrus2014,As I continue to look for help on bearing New England winters my awesome MIT friends sent me the following link.,
613,2018-01-25,15,307,tahastanly,If that indicates your disinterest in Seattle, that sucks, and I'm sorry, but frankly I can't luckin wait to have you back.,
614,2017-03-30,18,349,sosobanane,When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable.,
615,2016-06-04,,46,stethoscopes,We talked about your happy BU days and your boring / frustrating'Citi'days...,
616,2016-07-12,10,487,f1984b,Give those beautiful boys at MIT whatever they need.,
617,2017-11-19,14,136,craciun05,I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...,
618,2017-02-23,,421,sosobanane,he loves NYC too much in my opinion ( because i'll always love my seattle too much )...,
619,2016-02-28,14,468,f1984b,i love angelina jolie.,
620,2015-06-20,9,131,mmarvin,#NAME?,
621,2018-01-09,1,362,jerusseust,I love San Francisco...,
622,2017-06-19,9,370,sosobanane,Now I can totally rub it in my dad's face that Seattle sucks more than Pittsburgh does.,
623,2018-04-21,11,169,amateur07,The Lakers can suck me...,
624,2015-09-13,19,140,sheik_yerbouti,Angelina Jolie is a perfect example of the combination of large eyes, large lips, good skin, and a symmetrical face.,
625,2015-06-04,6,297,fsv,I LOVE Seattle!!,
626,2015-03-21,,49,bischopscup,I have loved Tom Cruise since Risky Business...,
627,2015-08-04,11,500,piley159,I love the lakers.,
628,2018-05-11,10,275,amateur07,ugly but durable ThinkPad.,
629,2019-01-19,8,412,harmon758,I love Tom Cruise.,
630,2015-04-10,,48,craciun05,I didn't get EA at MIT which was very disappointing.,
631,2016-06-09,,29,harmon758,i like the lakers.,
632,2015-06-04,14,251,sosobanane,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,
633,2016-01-12,9,355,maharnav,n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say  wait me  aaa.,
634,2017-10-02,,111,craciun05,brad pitt because i hate tom cruise.,
635,2019-04-21,,200,aminox,I absolutely love my MacBook Pro.,
636,2015-04-11,6,489,nitsua49,I miss London...,
637,2019-02-05,13,143,youralterego,I liked Tom Cruise until he dumped Nicole Kidman.,
638,2017-07-19,7,117,aminox,stupid UCLA..,
639,2016-05-12,15,153,harmon758,I LOVE SEATTLE.,
640,2017-06-23,10,463,youralterego,I hate Tom Cruise..,
641,2019-10-09,1,477,artykom,I mean we were never EXCLUSIVE, but I like to think Purdue and I were seriously talking on our way to dating...,
642,2019-10-19,15,56,cracking12345,I have loved Tom Cruise since Risky Business...,
643,2018-05-25,,158,odalv,, they have this song and durring it, everyone yells  UCLA sucks!,
644,2018-07-11,18,68,artykom,i try to enjoy my time here in san francisco.......,
645,2017-03-17,6,99,odalv,And I love old school Chicago Bulls...,
646,2019-05-15,18,353,f1984b,had to pay 24 $ cause aaa SUCKS!!!........,
647,2015-09-26,3,407,amateur07,I HATE LONDON!..,
648,2016-03-21,19,364,nitsua49,I love the lakers even tho Trav makes fun of me.,
649,2017-04-03,1,129,piley159,if i finish law here at USF or at some other place, like Harvard.,
650,2019-07-30,,106,alex945,Funny that harvard was almost more stressful than MY AUDITION!,
651,2016-06-28,9,167,harmon758,actually the only thing that i really like about purdue is my apartment....,
652,2016-11-01,,433,rps_1899,and i blame angelina jolie!,
653,2019-08-28,2,434,rexlex,i love my macbook...,
654,2019-01-01,7,179,hassan1365416,Traffic in Seattle does stink, but it's a beautiful city to be stuck in.,
655,2019-04-07,,122,rps_1899,MIT was amazing.,
656,2019-04-13,,373,sudebala,Now I can totally rub it in my dad's face that Seattle sucks more than Pittsburgh does.,
657,2016-04-12,5,88,sheik_yerbouti,AMERICAN AIRLINES SUCKS...,
658,2015-01-20,19,168,f1984b,I still like Tom Cruise.,
659,2017-09-17,,157,sosobanane,I loved Boston and MIT so much and still do.,
660,2016-04-07,2,476,hairy-conniption,Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.,
661,2018-06-02,11,471,sudebala,Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,
662,2019-09-27,,237,cracking12345,I like Tom Cruise and will boycott Paramount Pictures..,
663,2017-07-30,3,218,amateur07,I'm so glad I love Paris Hilton, too, or this would be excruciating.,
664,2018-04-26,8,277,bischopscup,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.,
665,2015-09-10,15,351,sheik_yerbouti,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.,
666,2019-05-30,8,168,timequake,I want to visit Seattle and see what it's like up there because I just love Seattle.,
667,2018-09-06,8,295,mmarvin,ur making me hungry and worse ur makin me miss london sooooooooooo much!.,
668,2019-09-13,,347,odalv,anyways i loved beijing as much as i loved shanghai.,
669,2018-12-05,20,63,nitsua49,Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent.,
670,2018-09-20,5,196,timequake,the Hyundai ones are excellent)!..,
671,2019-05-22,,82,cracking12345,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,
672,2017-03-16,5,173,fsv,Purdue's campus sucks in comparison.,
673,2016-12-12,,414,stethoscopes,I LOVE SHANGHAI!!!!!,
